branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate, outstanding , weekly_disbursement , weekly_new_borrower_per_bp 
POINTID_52,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1905,8,0%,3850,155,5
POINTID_91,2018-10-06,AREAID_4,REGION_JH,2018-07-28,199,3,0%,500,60,12
POINTID_25,2018-10-06,AREAID_20,REGION_JH,2017-06-10,1507,7,0%-1%,2650,75,4
POINTID_37,2018-10-06,AREAID_1,REGION_JH,2017-08-05,1555,7,2.5%-5%,2650,150,7
POINTID_24,2018-10-06,AREAID_20,REGION_JH,2017-06-10,1078,5,2.5%-5%,1800,65,5
POINTID_43,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1881,9,>10%,3750,10,3
POINTID_90,2018-10-06,AREAID_11,REGION_JH,2018-08-11,162,2,0%,400,65,12
POINTID_110,2018-10-06,AREAID_4,REGION_JH,2018-09-08,60,1,0%,150,10,3
POINTID_36,2018-09-29,AREAID_1,REGION_JH,2017-08-12,1483,6,5%-10%,3050,100,7
POINTID_24,2018-09-29,AREAID_20,REGION_JH,2017-06-10,1063,8,2.5%-5%,1800,100,10
POINTID_25,2018-09-29,AREAID_20,REGION_JH,2017-06-10,1493,11,0%-1%,2650,125,7
POINTID_38,2018-09-29,AREAID_1,REGION_JH,2017-08-12,1523,6,2.5%-5%,2850,30,3
POINTID_89,2018-09-29,AREAID_11,REGION_JH,2018-07-28,186,2,0%,450,90,17
POINTID_52,2018-09-29,AREAID_29,REGION_JH,2017-09-09,1879,8,0%,3800,245,9
POINTID_28,2018-09-29,AREAID_20,REGION_JH,2017-06-03,1140,9,5%-10%,1950,80,5
POINTID_35,2018-09-29,AREAID_1,REGION_JH,2017-07-29,1526,6,5%-10%,2500,25,6
POINTID_92,2018-09-29,AREAID_4,REGION_JH,2018-07-28,207,2,0%,500,95,19
POINTID_91,2018-09-29,AREAID_4,REGION_JH,2018-07-28,176,2,0%,450,140,27
POINTID_43,2018-09-29,AREAID_29,REGION_JH,2017-09-09,1881,9,>10%,3850,30,10
POINTID_90,2018-09-29,AREAID_11,REGION_JH,2018-08-11,138,2,0%,350,155,29
POINTID_50,2018-09-29,AREAID_29,REGION_JH,2017-09-09,1196,7,5%-10%,2450,145,9
POINTID_37,2018-09-29,AREAID_1,REGION_JH,2017-08-05,1535,7,2.5%-5%,2600,80,4
POINTID_44,2018-09-29,AREAID_29,REGION_JH,2017-09-09,1657,9,5%-10%,3200,95,3
POINTID_51,2018-09-29,AREAID_29,REGION_JH,2017-09-09,1544,8,5%-10%,3200,5,2
POINTID_99,2018-09-29,AREAID_17,REGION_JH,2018-08-18,110,1,0%,250,55,21
POINTID_118,2018-09-29,AREAID_20,REGION_JH,2017-06-03,696,5,5%-10%,1000,25,6
POINTID_110,2018-09-29,AREAID_4,REGION_JH,2018-09-08,57,1,0%,150,80,30
POINTID_50,2018-09-22,AREAID_29,REGION_JH,2017-09-09,1158,6,5%-10%,2400,45,2
POINTID_92,2018-09-22,AREAID_4,REGION_JH,2018-07-28,170,2,0%,400,45,9
POINTID_35,2018-09-22,AREAID_1,REGION_JH,2017-07-29,1527,5,5%-10%,2550,155,5
POINTID_89,2018-09-22,AREAID_11,REGION_JH,2018-07-28,152,2,0%,350,55,11
POINTID_43,2018-09-22,AREAID_29,REGION_JH,2017-09-09,1873,8,>10%,3900,0,
POINTID_110,2018-09-22,AREAID_4,REGION_JH,2018-09-08,27,1,0%,50,45,16
POINTID_25,2018-09-22,AREAID_20,REGION_JH,2017-06-10,1264,6,0%,2350,100,2
POINTID_37,2018-09-22,AREAID_1,REGION_JH,2017-08-05,1536,7,2.5%-5%,2600,150,6
POINTID_28,2018-09-22,AREAID_20,REGION_JH,2017-06-03,991,3,2.5%-5%,1800,55,17
POINTID_90,2018-09-22,AREAID_11,REGION_JH,2018-08-11,80,1,0%,200,20,8
POINTID_51,2018-09-22,AREAID_29,REGION_JH,2017-09-09,1547,7,5%-10%,3300,55,7
POINTID_36,2018-09-22,AREAID_1,REGION_JH,2017-08-12,1448,6,5%-10%,3050,30,2
POINTID_91,2018-09-22,AREAID_4,REGION_JH,2018-07-28,123,2,0%,300,5,2
POINTID_52,2018-09-22,AREAID_29,REGION_JH,2017-09-09,1830,8,0%,3700,165,8
POINTID_38,2018-09-22,AREAID_1,REGION_JH,2017-08-12,1523,5,2.5%-5%,2900,115,2
POINTID_44,2018-09-22,AREAID_29,REGION_JH,2017-09-09,1639,8,5%-10%,3200,110,5
POINTID_24,2018-09-22,AREAID_20,REGION_JH,2017-06-10,947,5,1%-2.5%,1550,100,4
POINTID_99,2018-09-22,AREAID_17,REGION_JH,2018-08-18,89,1,0%,200,25,10
POINTID_51,2018-09-15,AREAID_29,REGION_JH,2017-09-09,1531,6,5%-10%,3350,20,1
POINTID_24,2018-09-15,AREAID_20,REGION_JH,2017-06-10,952,4,0%-1%,1500,25,4
POINTID_44,2018-09-15,AREAID_29,REGION_JH,2017-09-09,1612,7,5%-10%,3200,115,7
POINTID_37,2018-09-15,AREAID_1,REGION_JH,2017-08-05,1504,6,2.5%-5%,2550,45,10
POINTID_43,2018-09-15,AREAID_29,REGION_JH,2017-09-09,1880,7,>10%,4050,0,
POINTID_91,2018-09-15,AREAID_4,REGION_JH,2018-07-28,121,2,0%,300,45,19
POINTID_110,2018-09-15,AREAID_4,REGION_JH,2018-09-08,11,1,0%,0,30,11
POINTID_36,2018-09-15,AREAID_1,REGION_JH,2017-08-12,1450,5,5%-10%,3150,160,5
POINTID_52,2018-09-15,AREAID_29,REGION_JH,2017-09-09,1813,7,0%,3650,70,3
